"GIDTR","State","State_name","County","County_name","Tract","Low_Response_Score","Mail_Return_Rate_CEN_2010","Tot_Population_ACS_12_16","Med_HHD_Inc_ACS_12_16","pct_Pop_under_5_ACS_12_16","pct_Pop_18_24_ACS_12_16","pct_Pop_65plus_ACS_12_16","pct_Prs_Blw_Pov_Lev_ACS_12_16","pct_Female_No_HB_ACS_12_16","pct_Not_HS_Grad_ACS_12_16","pct_NH_Blk_alone_ACS_12_16","pct_NH_White_alone_ACS_12_16","pct_Hispanic_ACS_12_16","pct_NH_AIAN_alone_ACS_12_16","pct_NH_Asian_alone_ACS_12_16","pct_NH_NHOPI_alone_ACS_12_16","pct_NH_SOR_alone_ACS_12_16","pct_Born_foreign_ACS_12_16","pct_ENG_VW_ACS_12_16","pct_Age5p_Spanish_ACS_12_16","pct_Age5p_Russian_ACS_12_16","pct_Age5p_Chinese_ACS_12_16","pct_Age5p_Korean_ACS_12_16","pct_Age5p_Vietnames_ACS_12_16","pct_Age5p_Tagalog_ACS_12_16","pct_Age5p_Arabic_ACS_12_16","Tot_Housing_Units_ACS_12_16","Tot_Occp_Units_ACS_12_16","pct_Renter_Occp_HU_ACS_12_16","pct_Rel_Under_6_ACS_12_16","pct_Diff_HU_1yr_Ago_ACS_12_16","pct_Vacant_Units_ACS_12_16","pct_MLT_U10p_ACS_12_16","pct_Single_Unit_ACS_12_16","pct_Crowd_Occp_U_ACS_12_16","pct_minority","pct_multiunit","pcat_all","pcat_10x1"
"09003500700","09","Connecticut","003","Hartford County","500700",na,na,1105,"",0,20.09,0,0,100,41.95,30.41,33.3,33.76,0,0,0,0,4.25,0,4.34,0,0,0,0,0,0,15,15,100,0,57.65,0,0,0,0,66.7,100,5,5
"09003500900","09","Connecticut","003","Hartford County","500900",39.5,69.9,2433,"$19,620",10.65,11.47,7.23,42.79,53.33,28.73,37.03,1.85,60.34,0,0,0,0,7.23,16.07,19.55,0,0,0,0,0,0,891,840,92.74,33.12,14.29,5.72,39.17,8.42,5.95,98.15,91.58,3,3
"09003501200","09","Connecticut","003","Hartford County","501200",38.5,62.7,2665,"$24,886",9.57,13.66,4.43,36.4,49.41,29.67,64.24,3.19,29.94,0.9,0,0,0,8.63,5.78,5.27,0,0,0,0,0,0,1149,935,87.59,35.86,15.46,18.62,29.42,18.45,4.06,96.81,81.55,3,3
"09003501300","09","Connecticut","003","Hartford County","501300",39.7,64.1,1532,"$19,894",9.07,13.12,3.66,48.69,55.99,28.85,70.17,0.91,28.66,0,0,0,0,15.14,5.11,7.9,0,0,0,0,0,0,668,509,86.44,40.51,31.07,23.8,15.72,10.03,6.09,99.09,89.97,3,3
"09003501400","09","Connecticut","003","Hartford County","501400",36.4,50.1,2793,"$18,328",8.06,9.63,13.18,44.37,31.35,48.71,72.11,0.9,23.2,0,0,0,0,23.59,8.5,6.74,0,0,0,0,0,0,1288,1059,85.46,36.31,11.35,17.78,24.53,6.83,6.42,99.1,93.17,3,3
"09003501500","09","Connecticut","003","Hartford County","501500",33.8,55.9,3667,"$31,227",7.36,13.85,12.08,30.95,43.5,24.44,83.86,3.85,11.67,0,0,0,0,15.52,1.65,2.12,0,0,0,0,0,0,1610,1331,74.53,28.62,19.14,17.33,12.55,26.52,5.41,96.15,73.48,4,3
"09003501700","09","Connecticut","003","Hartford County","501700",40.5,67.8,1564,"$27,772",6.84,10.81,6.33,33.29,53.7,35.63,38.81,0.9,54.6,0,2.81,0,0,11.83,15.43,17.57,0,0,0,0,0,0,584,473,91.12,28.46,21.6,19.01,20.38,8.56,8.03,99.1,91.44,3,3
"09003501800","09","Connecticut","003","Hartford County","501800",38.1,63.9,3162,"$19,938",12.84,9.9,8.06,49.38,51.48,44.18,35.1,2.53,61.07,0.54,0,0,0.22,10.34,17.19,19.3,0,0,0,0,0,0,1228,1047,85.86,43.13,21.19,14.74,11.48,9.2,7.26,97.47,90.8,3,3
"09003502100","09","Connecticut","003","Hartford County","502100",25.9,76.1,1986,"$79,712",1.31,8.56,10.22,13.87,1.89,4.01,13.85,56.95,12.69,0,16.01,0,0,24.07,11.06,5.2,0,3.06,0,0,0,1.17,1589,1429,85.79,8.5,33.74,10.07,87.67,1.57,2.31,43.05,98.43,5,5
"09003502300","09","Connecticut","003","Hartford County","502300",27.3,75.2,6111,"$54,583",7.3,9.15,10.08,17.77,23.42,25.05,15.22,26.9,52.22,0,2.77,0,1.13,35.58,20.6,23.53,6.81,0,0,0,0,0,2085,1840,45.71,22.49,17.22,11.75,6.28,48.54,5.82,73.1,51.46,4,4
"09003502400","09","Connecticut","003","Hartford County","502400",32.9,66.9,6215,"$32,083",7,16.43,6.89,27.29,32.89,34.38,12.13,19.45,65.18,0,0.06,0,0.16,22.99,23.1,29.38,5.81,0,0,0,0,0,2383,2195,81.32,27.45,26.04,7.89,14.27,10.16,5.1,80.55,89.84,3,3
"09003502500","09","Connecticut","003","Hartford County","502500",33.4,58.3,2094,"$27,135",11.08,13.09,7.35,30.56,27.48,29.52,18.77,18.1,49.52,0,0.53,0,2.53,20.11,23.44,13.75,3.17,0,0,0,0,0,884,815,77.3,47.26,17.22,7.81,25.45,17.65,8.83,81.9,82.35,3,3
"09003502600","09","Connecticut","003","Hartford County","502600",32.1,66.7,4033,"$34,073",5.98,14.93,8.16,32.42,35.8,31.2,19.19,13.39,61.99,0,4.22,0,0.57,25.69,12.84,18.14,0.55,0,0,0,0,0,1454,1394,68.58,21.25,24.45,4.13,13.27,15.41,12.63,86.61,84.59,4,3
"09003502700","09","Connecticut","003","Hartford County","502700",32.7,66.1,5090,"$21,700",4.77,48.43,7.09,38.6,24.76,43.08,14.32,35.76,41.79,0.22,3.83,0,0.37,14.01,24.61,13.29,0,0.17,0,0,0,0,1578,1268,85.65,29.2,33.55,19.65,39.99,10.96,8.04,64.24,89.04,4,3
"09003502800","09","Connecticut","003","Hartford County","502800",38.3,63.8,2608,"$21,533",9.09,13.08,7.17,47.56,34.57,45.52,10.43,5.06,83.21,0,0,0,0,21.05,33.15,34.58,0.63,0,0,0,0,0,1182,917,89.75,31.52,29.96,22.42,12.18,2.71,7.31,94.94,97.29,4,3
"09003502900","09","Connecticut","003","Hartford County","502900",35,67.8,2981,"$26,250",6.91,16.3,8.45,39.18,25.06,38.92,23.95,15.06,56.26,0,3.56,0,0.44,16.14,20.9,26.34,0,0.86,0.14,0,0,0,1427,1273,93.56,25.88,15.53,10.79,41,5.19,3.85,84.94,94.81,3,3
"09003503000","09","Connecticut","003","Hartford County","503000",38.1,69,3282,"$18,627",9.26,8.47,8.2,51.84,36.76,48.85,19.32,3.11,74.86,0,0.4,0,0,8.53,33.77,34.08,0,0,0,0,0,0,1373,1137,93.32,42.31,15.65,17.19,28.55,3.42,7.3,96.89,96.58,3,2
"09003503100","09","Connecticut","003","Hartford County","503100",29.7,69.1,3793,"$35,847",3.93,9.39,14.21,18.5,15.47,18.64,41.39,20.38,25.73,0.69,8.54,0,2.4,37.73,13.52,8.92,0.03,2.36,0.44,0,0,0,2925,2366,81.19,17.33,17.08,19.11,83.79,1.71,9.04,79.62,98.29,3,3
"09003503300","09","Connecticut","003","Hartford County","503300",36.7,47.4,2529,"$27,194",7.91,16.09,4.86,40.92,31.32,20.71,52,6.45,36.3,0,0.95,0,1.66,15.22,12.6,11.55,0,0,0,0,0,1.12,1537,1325,95.4,35.49,32.72,13.79,82.3,2.8,2.87,93.55,97.2,3,3
